Rank,CellID,EnvelopeAspectRatio,R2,SigmaC,OffsetMag,LongAxis,ShortAxis,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
1,646,1.01683114799769,0.660538618137836,3.83780902906641,0.129189463510212,7.80480752164303,7.67561805813282,1,0.996172013162902,0.615719491055656,0,94.5335804046351,94.5335804046351,NaN
2,126,1.03217530284768,0.85324327541234,2.46978054425313,0.158931873957299,5.09849296246357,4.93956108850627,NaN,NaN,0.439449982919711,0,101.567658431988,101.567658431988,NaN
3,744,1.06285400781028,0.74336338799533,3.17832718292253,0.399541203158069,6.75619556900314,6.35665436584507,0.167472344431771,0.702664539882098,0.398193509875583,90,88.6851577769195,88.6851577769195,NaN
4,1608,1.06530632389519,0.573915353541937,1.60879601709958,0.210129107548,3.42772114174716,3.21759203419916,0.188155459592844,0.997058305885903,1.49816609003388,120,42.2151511012429,42.2151511012429,NaN
5,362,1.06672408155769,0.408958551060612,3.2476239626726,0.433389452308168,6.92863737765336,6.49524792534519,0.235466793546788,0.187354279928681,0.1508727454474,60,136.732756887611,136.732756887611,NaN
6,771,1.07282838310887,0.87388524629151,5.09413765131385,0.741995616958363,10.9302709195861,10.1882753026277,0.32887280483954,0.209387845197213,0.194844198409186,150,78.0580859705447,78.0580859705447,NaN
7,244,1.07341144295048,0.613886726244915,3.81485699109791,0.560108312732423,8.18982229492824,7.62971398219582,0.216474555818484,0.815141869143416,0.259443591261932,90,90.214111559551,90.214111559551,NaN
8,615,1.07790515164124,0.914204730262712,2.97204441407306,0.463075141525751,6.40716396967186,5.94408882814611,0.399077451570634,0.64708594337821,0.728872500772882,0,96.6697665227462,96.6697665227462,NaN
9,1440,1.08442444245036,0.634661429530732,3.39733838530998,0.573636797989998,7.36831356860997,6.79467677061997,0.68607588097843,1,0.287495555533532,0,102.109835080918,102.109835080918,NaN
10,1252,1.08800087340241,0.782459430966854,2.2017803272051,0.387517183668576,4.79107783807878,4.4035606544102,0.397287848289014,0.529513257511239,0.783640891946217,60,103.732827132413,103.732827132413,NaN
11,1619,1.10215676321283,0.833728776439555,1.75396905195666,0.358359602246731,3.86629770616005,3.50793810391332,0.680786344098039,0.826678901865554,1.4404843554945,90,84.7955337084169,84.7955337084169,NaN
12,131,1.10298597020675,0.921513303794646,2.69082171854715,0.554233770675923,5.93587720777022,5.38164343709429,0.472965409157058,0.963179005051269,0.433693331369471,30,3.89392058068249,3.89392058068249,NaN
13,1566,1.10382051858906,0.841417457494218,2.9586245760167,0.614331875584773,6.53158102761817,5.9172491520334,0.402754590984975,0.97309909415317,1.11006501160073,60,55.969678234201,55.969678234201,NaN
14,358,1.10388621538281,0.888478109709177,2.28964196628275,0.475724476917523,5.05500840948302,4.5792839325655,0.163194358788491,0.246991217259488,0.725239929026661,60,71.2527124698688,71.2527124698688,NaN
15,231,1.10466776286939,0.674128135869262,2.83319041871547,0.593087405819853,6.2594682432508,5.66638083743095,0.00468035076420761,1,1.10297185034748,90,80.5160749251837,80.5160749251837,NaN
16,801,1.10537602080656,0.809059446337195,3.29418661215195,0.694256553965622,7.28262977826952,6.5883732243039,0.760143085757319,1,1.30517653383849,30,58.1710277748861,58.1710277748861,NaN
17,1618,1.10766927136142,0.560375881472939,3.11813370041275,0.671454367061853,6.90772176788736,6.23626740082551,0.900946655660263,0.473117045786903,1.05090011354247,30,66.2258320217522,66.2258320217522,NaN
18,1235,1.11400889393666,0.927513161669907,2.71783950333544,0.619715751345252,6.05539475801613,5.43567900667088,0.322393940009342,0.3545024220376,0.510111621302275,60,111.892725330129,111.892725330129,NaN
19,776,1.1178342822636,0.866567254986652,2.47532510225784,0.583356313587237,5.53400651810293,4.95065020451569,0.0728604346268005,0.126876328908141,0.37221364477873,120,78.7324049016571,78.7324049016571,NaN
20,60,1.12180018745261,0.874815519940353,5.28642159538293,1.28777428254237,11.8606174733082,10.5728431907659,NaN,NaN,0.299216465157033,0,48.2657573283835,48.2657573283835,82.4155494726692
21,1575,1.12383755048609,0.457604859020821,2.96706712228387,0.734868649102885,6.66900289367062,5.93413424456773,0.465760057259542,0.101582223209768,0.32125467467454,90,49.5250030714816,49.5250030714816,NaN
22,135,1.1240196558559,0.849525666657326,1.77060246729718,0.439179017303591,3.98038395189795,3.54120493459436,0.543664455000496,0.99535155346016,1.39139804879178,90,90.8411583104103,90.8411583104103,NaN
23,1762,1.12578822184905,0.690502636042461,2.8382067751158,0.714025966963473,6.39043951719508,5.67641355023161,0.0385346928566855,0.919943410360406,0.165384982035987,0,88.1751282619418,88.1751282619418,NaN
24,1517,1.12818038184749,0.946957845483531,4.68124210852077,1.20008680198148,10.562571019023,9.36248421704154,1,1,0.858692995849257,120,89.3170031900648,89.3170031900648,88.0267518596708
25,1450,1.12850760271488,0.843635074654416,2.78097499909439,0.714752860687259,6.27670285887604,5.56194999818878,0.064111850219057,0.190771617694256,0.475565904015354,90,152.908524239007,152.908524239007,NaN
26,1588,1.12856885747786,0.869039898303797,2.57489236920212,0.662101940073545,5.81188667847778,5.14978473840423,NaN,NaN,0.396347990160282,0,74.891258775173,74.891258775173,NaN
27,793,1.13878646607561,0.566226586426613,3.07325933602453,0.853053605161425,6.99957227721048,6.14651867204905,0.639960245859099,0.949417232772556,0.227992005160236,0,126.150334144972,126.150334144972,NaN
28,329,1.14113502783542,0.835935992361701,5.83600733829496,1.64733011627596,13.3193447928659,11.6720146765899,1,1,0.25818803880531,90,117.548305731322,117.548305731322,62.1381405733814
29,132,1.14277215216129,0.959237035375801,2.99337743957115,0.854741878557237,6.84149675769954,5.9867548791423,0.398849167072085,1,0.132215941280472,90,91.3021178685997,91.3021178685997,NaN
30,118,1.14846482584614,0.925391476449302,2.58255347456349,0.766836703678818,5.93194365280579,5.16510694912697,NaN,NaN,0.543186253845517,0,93.3258252826456,93.3258252826456,NaN
31,1431,1.14857038611037,0.69993632687161,6.12339446241425,1.81951015917401,14.0662990840025,12.2467889248285,0.182223980110747,0.506842317099601,0.43759953609353,30,95.6688107513239,95.6688107513239,175.098250785131
32,1455,1.14996856969356,0.617799592781537,5.48053131826672,1.64381488592246,12.6048775224559,10.9610626365334,0.325299607154105,0.889991720981861,1.07719058934452,120,115.701827423537,115.701827423537,112.368994812258
33,1581,1.15254089698178,0.709484067689599,2.27159701961985,0.693022893907918,5.23621693314761,4.54319403923969,0.208415257569799,0.248365132576722,1.23163084778487,120,86.8499591618078,86.8499591618078,NaN
34,250,1.15312064678029,0.851570882359093,1.74774958493507,0.535233093710468,4.03073226358061,3.49549916987014,0.766317232182546,1,1.24085784565666,60,83.9154461450509,83.9154461450509,NaN
35,1821,1.15360403483569,0.639426957001878,4.44599153972877,1.36584447869533,10.2578275581529,8.89198307945754,0.368429738427263,0.774439871534111,0.896871866492604,150,146.219019548037,146.219019548037,106.074607092879
36,1095,1.15447244728652,0.805405976996992,3.75854601815375,1.16118360332645,8.67827563963396,7.51709203630751,0.471919970332582,1,0.269287948363809,30,46.9198363882773,46.9198363882773,65.0213964416484
37,1248,1.1550409711901,0.805237200782089,3.93641881992043,1.22061239370293,9.09345003354378,7.87283763984085,0.563953897795827,0.534013286480318,0.10210537102235,120,96.6645214019111,96.6645214019111,71.6701868922735
38,1593,1.158283221491,0.83091207540999,4.02665033154626,1.27470237258987,9.3280030356824,8.05330066309253,0.334068053450889,0.351069135266311,1.44724993267378,60,92.3181414349801,92.3181414349801,95.0525246958622
39,331,1.15985233337004,0.882181564226964,2.62005835670305,0.837644883769288,6.07776159717538,5.24011671340609,0.256001013363734,0.277466936362222,0.207757733666849,90,145.00897298823,145.00897298823,NaN
40,614,1.16061101127189,0.758887687103101,3.84588220967237,1.2353820618561,8.92714648120084,7.69176441934473,0.160886155248021,0.504362270760649,1.07359817020936,30,48.6688609566964,48.6688609566964,49.0594541642783
41,1015,1.16204049148039,0.909891529264211,3.42645706211509,1.11044957276317,7.96336369699335,6.85291412423018,0.880471358080519,0.382913973771726,0.823510466590073,30,84.8267622003522,84.8267622003522,70.2413003014319
42,632,1.16256434150703,0.797075994231425,3.51397997509623,1.14249568144084,8.1704556316333,7.02795995019246,0.328894768210958,0.984622930009809,0.349134017408429,150,88.5821697519711,88.5821697519711,102.886057012612
43,798,1.16296671955176,0.766219255622129,3.21382630357191,1.04749345980456,7.47514606694837,6.42765260714382,0.23223880135809,0.941312385597019,0.416010910676489,0,133.922601301062,133.922601301062,54.5306737936503
44,912,1.16801923530039,0.718779818432866,2.7123077823564,0.911439758981629,6.33605532369443,5.4246155647128,0.0562529218750683,0.898498857725283,1.20669542792277,120,104.140341132146,104.140341132146,NaN
45,743,1.17021260568853,0.871703846405002,2.95767720840532,1.00686788885652,6.92222230566715,5.91535441681063,0.000538874187965461,0.408962485183084,0.401953748633624,0,104.829923836343,104.829923836343,46.6216544623792
46,1808,1.17178466724292,0.912737783953144,2.70185145076021,0.928273304817263,6.33197620633769,5.40370290152043,NaN,NaN,0.322314544049647,0,88.6366168759817,88.6366168759817,NaN
47,599,1.17181307577934,0.935130613649968,3.17936889301333,1.09251429709157,7.45125208311823,6.35873778602666,0.160920751821753,0.0977850205983782,0.449367759114249,30,68.2996606174825,68.2996606174825,131.072736240541
48,1672,1.17290803088923,0.75998104816538,3.34702734098982,1.15745581372595,7.85151049570559,6.69405468197964,0.059758048578886,0.807939461543825,1.50051289547594,90,92.3646822533477,92.3646822533477,70.4850931443927
49,1532,1.17495823093056,0.811501304052595,3.78691423108237,1.32510362911183,8.89893209127658,7.57382846216475,0.982209043736101,0.971224638902939,1.42453345945129,60,103.614402834725,103.614402834725,75.798293876011
50,1612,1.17661961339391,0.836365913536975,2.94249739262249,1.03940550379516,6.92440028904013,5.88499478524497,1,0.899457861015278,1.64799872596301,120,93.1412645808997,93.1412645808997,114.698349828056
51,1078,1.17691044308151,0.886541463733332,2.85686736520903,1.01081934280846,6.72455407322652,5.71373473041806,0.866583289248541,0.685687026157766,1.2854060846743,60,80.7328511138525,80.7328511138525,40.3484510777252
52,446,1.17726194625945,0.80540430937472,4.06007812807569,1.43939470189627,9.55955095804764,8.12015625615138,0.87476743987574,0.155438976590163,0.418316858323507,150,85.4144753124796,85.4144753124796,80.0868909211357
53,469,1.17934442908216,0.855767654211465,3.96962349282513,1.42385971798372,9.36310670363399,7.93924698565027,0.6577033373509,0.748038442377947,1.38124411258787,30,63.5762608318372,63.5762608318372,3.23841219758705
54,1856,1.18074759438434,0.842070944969474,4.11705255052159,1.48829468892138,9.72239978996455,8.23410510104317,0.944410487022201,0.943672095535337,0.221724947289277,30,57.8294425994235,57.8294425994235,123.037322462188
55,919,1.18264997577259,0.818534725584609,2.41161136868719,0.880961516127225,5.70418425350161,4.82322273737439,0.771188589176,0.885338676458744,1.30058917011358,0,12.8190636046937,12.8190636046937,NaN
56,659,1.18551050769675,0.809657626753401,3.06699582493689,1.13791990517569,7.27191155504947,6.13399164987378,0.151699029126213,1,0.95671981249897,90,106.683423830583,106.683423830583,74.8752284186988
57,1587,1.18610275836411,0.860204942420434,5.76135144215246,2.14440679057923,13.6671096748842,11.5227028843049,0.0878368006849545,0.572432340505077,0.330415192676456,90,111.602677438306,111.602677438306,38.8260188533892
58,637,1.18637016638013,0.72561421745891,2.71730787170138,1.01285024031006,6.44746598371282,5.43461574340276,0.293255131964809,0.297183992894678,0.337431200540401,90,73.6868430033891,73.6868430033891,100.86659979014
59,783,1.18661594781139,0.626990368071651,3.84996755494415,1.43693068861801,9.13686579850632,7.69993510988831,0.105178535539626,0.865829098619249,0.880446176398457,60,84.9221561886721,84.9221561886721,101.888769602574
60,1810,1.18890640659504,0.681919284279442,2.59482015223561,0.980356301438434,6.16999660590966,5.18964030447123,NaN,NaN,0.329302944250894,0,102.057937161882,102.057937161882,NaN
61,621,1.19463886883212,0.865356072735894,5.13389633946964,1.99851155243142,12.2663042313707,10.2677926789393,NaN,NaN,0.793475482882281,0,79.365501904994,79.365501904994,59.5967068482506
62,1341,1.19564933551811,0.87196201484535,3.39793781259626,1.32960855033263,8.12548417552514,6.79587562519251,NaN,NaN,0.354365569860988,0,0.119495104701855,0.119495104701855,90.6372108312274
63,230,1.19656413978619,0.960347764707872,3.71537854396498,1.46062037494906,8.89137746287902,7.43075708792996,1,0.256209610518171,0.426151499205499,120,113.388167193673,113.388167193673,101.512324786562
64,1438,1.19890063645141,0.812345869414602,2.53815576167633,1.0096815928205,6.08599311617316,5.07631152335267,0.30899194920059,0.356217801553215,0.124574787903864,120,127.778678705661,127.778678705661,66.5168043291666
65,81,1.20012484851924,0.833910464554918,3.61322991228705,1.44619417772323,8.67265400229734,7.2264598245741,0.212110562583409,0.382159216825867,0.233528913428427,90,53.3428147785541,53.3428147785541,163.576778140707
66,328,1.20060656685495,0.704335556841696,3.44161349371312,1.38082053483089,8.26404752225713,6.88322698742624,0.667059721686811,1,0.158459430505494,0,142.368485320884,142.368485320884,177.000428824073
67,1546,1.20074794585541,0.754366810911129,3.32230632084329,1.33389233882346,7.97850498051005,6.64461264168659,1,0.0500561006108734,0.450413978798531,0,132.791938193248,132.791938193248,55.3963294763571
68,775,1.2008758306951,0.637797357311982,4.42357369582087,1.77717808157799,10.6243254732197,8.84714739164175,0.225196825160181,0.837304242158571,0.285985894346829,150,141.626257963468,141.626257963468,66.6365289645534
69,1596,1.20123013028256,0.698931707376523,2.42964917011078,0.977837238084632,5.83713557830618,4.85929834022155,1,1,0.287251394974415,0,74.394990851403,74.394990851403,NaN
70,1422,1.20338642141774,0.916515109284571,3.96097641216642,1.61121763558123,9.53317045991407,7.92195282433284,0.0622451169778923,0.572418822663098,1.07898386290685,60,77.3203678046776,77.3203678046776,2.09858851431337
71,1592,1.20348377126574,0.78638466067385,2.8184834999956,1.14703130365874,6.78399830364993,5.63696699999119,1,1,1.06414138710626,90,83.7143650875003,83.7143650875003,111.897651441471
72,1845,1.20351460428015,0.781103095593211,2.81720198963777,1.14668349619679,6.78108747547232,5.63440397927553,0.858153099674805,1,1.25299316796768,90,89.7033349577751,89.7033349577751,79.3125554133472
73,890,1.20386209814339,0.788507634980974,2.98340256079222,1.2164054112989,7.18321053288334,5.96680512158444,0.177510951806697,0.241034150797157,0.967717951441197,60,49.586711683254,49.586711683254,111.189362617733
74,1644,1.20545293982029,0.715446381797271,3.02377252971704,1.2424859111564,7.29003097059049,6.04754505943408,0.181540115438269,1,0.457592975015812,120,93.1816501082588,93.1816501082588,83.7809623787507
75,479,1.20557147904676,0.807542104175557,3.30507024544708,1.35885635741995,7.9689968483141,6.61014049089415,0.984929531606121,0.306833048203683,0.428605731005912,120,98.2878861420879,98.2878861420879,55.7917885708607
76,1329,1.20635211958937,0.766872639493499,3.13392628590599,1.29338466346711,7.5612372352791,6.26785257181199,NaN,NaN,0.10193487756596,0,62.5674459730838,62.5674459730838,93.7584187750115
77,1330,1.20715542354544,0.730048612384506,3.50853682747613,1.45362486504121,8.47069851999347,7.01707365495226,1,0.423341576174605,0.850243840613067,120,173.943720559709,173.943720559709,150.020467292535
78,1334,1.20972322541452,0.733107318797591,3.47717929034684,1.45849051223224,8.41284909292591,6.95435858069367,1,1,0.118473237410928,90,94.362452910632,94.362452910632,46.3110696159161
79,123,1.21095184023332,0.77348808147325,3.35276138959873,1.41454236999813,8.12006514919559,6.70552277919746,0.264580741286884,1,0.991726458456369,90,99.6667283529003,99.6667283529003,19.8913439776815
80,748,1.2119048175713,0.646152130002918,4.62758161111972,1.96121367420126,11.2163768964407,9.25516322223945,NaN,NaN,0.237776947997587,0,98.1098477762975,98.1098477762975,129.76980427088
81,1836,1.21256873099126,0.852891637701163,2.74239203982025,1.16589359157027,6.65067767121077,5.4847840796405,NaN,NaN,0.496684412415417,0,97.5205808819671,97.5205808819671,94.4216370945986
82,1322,1.21260520071368,0.777870076692601,1.63741746908356,0.696246939333205,3.97108187750031,3.27483493816711,0.586793409708586,0.32129193176774,0.717866433957491,90,74.426626233686,74.426626233686,NaN
83,1865,1.21279015481511,0.684856301073275,3.95459046211422,1.68299583332731,9.59217675755576,7.90918092422845,0.407412530582957,0.668678169290869,1.61317562108789,60,103.713147103061,103.713147103061,150.649257400812
84,1831,1.21327994392192,0.665642930208111,4.36251393917514,1.86087345661172,10.585901334962,8.72502787835028,NaN,NaN,0.498911494867685,0,66.5431132593658,66.5431132593658,110.214971163547
85,127,1.21594869116813,0.599546804153214,2.3626959214861,1.02044218374642,5.74583402671863,4.7253918429722,0.266742338251986,0.991564205767216,0.879069601011708,0,86.8198395822771,86.8198395822771,10.2601331100397
86,378,1.216398404586,0.730689754584672,3.43173883102716,1.4852456159802,8.34872327803452,6.86347766205432,NaN,NaN,0.375822504597546,0,69.69501071494,69.69501071494,170.162578134292
87,657,1.21735750119617,0.883538812289605,2.71881455118549,1.18190947412292,6.61953857649391,5.43762910237099,0.335892514395394,0.494887941139659,1.23479165951286,60,71.9269441280183,71.9269441280183,98.9080826594222
88,600,1.21791679219208,0.770741144931265,5.60995514254093,2.445006858008,13.6649171430899,11.2199102850819,0.838473384580331,0.0688574098834377,0.0544635760149108,120,95.6531513551295,95.6531513551295,3.06919708087458
89,649,1.22022768970846,0.832974428830593,2.73773677636911,1.20585089057931,6.68132444331752,5.47547355273821,0.916894373768142,0.338307457314248,1.58838877050065,150,77.4334570146872,77.4334570146872,110.550313032274
90,115,1.22148936550044,0.781182090251991,3.61701060744047,1.60225876890072,8.83627998378166,7.23402121488094,0.0321403890236501,0.175907504311242,0.229546674852225,120,114.594735862619,114.594735862619,146.350439289922
91,1610,1.22171925725341,0.825822880887829,2.1119188619708,0.936506162911263,5.16034388685285,4.22383772394159,0.61946380063777,1,1.57334087403508,90,102.675401474031,102.675401474031,NaN
92,1839,1.22285690847877,0.767914594833989,3.46195924962823,1.54304307130328,8.46696157055974,6.92391849925646,0.672763549351378,1,0.849588805796004,30,67.3207967066086,67.3207967066086,85.7012957687992
93,1623,1.2243564643727,0.63085124215421,3.93121051929659,1.76398498562826,9.62640602422144,7.86242103859318,0.187618031037031,1,1.23781875543912,120,124.072745540933,124.072745540933,121.162640591696
94,1620,1.22566427871026,0.630779062566877,1.84544356147174,0.83290138040004,4.52378850334351,3.69088712294347,0.975992383983199,0.526751108331134,0.983274990045516,30,63.8052157457403,63.8052157457403,NaN
95,1826,1.22621313978195,0.962351990426853,3.53080692253042,1.59742983981887,8.65904368487971,7.06161384506084,1,1,0.583140592291701,120,105.169442472231,105.169442472231,92.9228225573903
96,1847,1.22744270713881,0.760581030515488,2.72169295144025,1.23805842575238,6.68144432863288,5.4433859028805,0.734353280253017,1,1.38837091466217,90,94.4506335871703,94.4506335871703,78.9145731705
97,1822,1.22747130081111,0.823052193109301,2.73976454923347,1.2464356118606,6.72596471032754,5.47952909846694,0.38658499266316,0.599875368268239,0.350820706868752,90,146.237851756579,146.237851756579,61.7621933413291
98,1430,1.22860755620754,0.762780243742209,4.34653732932503,1.98730255364368,10.6803772122937,8.69307465865007,0.0452403357118638,0.725200991499564,0.194210280322793,90,77.9546025131143,77.9546025131143,103.769815698703
99,1805,1.2297126225636,0.810721434327879,3.36335968020949,1.5452123455312,8.27193170595018,6.72671936041898,0.262378071366835,0.374977842347365,0.996160600224733,120,93.6660625630354,93.6660625630354,101.623938307199
100,870,1.23007776843809,0.779544778442174,3.09190804863589,1.42275860809181,7.60657470536359,6.18381609727178,0.17841139177482,0.842723658227372,1.21836253204037,90,107.435634346188,107.435634346188,78.9724701654902
101,1083,1.23056627785187,0.823269118378415,2.57278845402756,1.18639651509079,6.33197342314592,5.14557690805512,0.751529900153885,0.916583332208425,1.6382338262546,90,92.1019283742367,92.1019283742367,93.2746734459358
102,1820,1.23110551971783,0.68451413844407,4.24411009516723,1.96167453856659,10.449894728901,8.48822019033445,0.0506683844618415,0.352436933168712,0.587080503313753,60,78.6225157169107,78.6225157169107,59.7606084659632
103,1328,1.23176634594991,0.701102698535918,4.2583375715754,1.97387867757047,10.4905538207213,8.51667514315079,0.201938547997449,0.197564746236375,0.162828083520536,90,59.4521890993708,59.4521890993708,14.1798895702368
104,772,1.23372382695323,0.821284664384926,4.11840132451017,1.92513703698757,10.1619396860079,8.23680264902034,NaN,NaN,0.413801679981504,0,74.7354729963555,74.7354729963555,165.055369698564
105,1621,1.23476289223037,0.926857773620622,3.08536564380203,1.44865872425434,7.61939001185839,6.17073128760405,0.309050731795139,0.726266758945951,1.19878165238774,90,145.007727530458,145.007727530458,58.3206178337419
