cellID,DoG_effectiveAR,DoG_majorAxisPix,DoG_minorAxisPix,DoG_effectiveThetaDeg,DoG_R2
60,1.25795280704634,3.00781062744769,2.39103614269124,33.6116753448862,0.86981269431986
68,1.31348932149379,3.48012933279793,2.64952997778473,5.35054089448604,0.853246727176873
71,2.23154967800879,2.05231439428905,0.919681248647051,85.3771102191173,0.571179645954995
81,1.27983583255538,1.84324788853308,1.4402221297811,29.7248085079142,0.695355470510302
93,1.4594749983946,3.01498179806634,2.06579886697804,59.6413964908061,0.72588209718678
94,1.82748043827314,2.60749633193415,1.42682585122393,132.706960701453,0.880015113841712
95,2.28913157090609,3.78994613516415,1.65562616991211,16.5131815573469,0.841972642442982
107,1.45464820706527,3.1360232093894,2.15586366116401,104.666612279375,0.88517735353785
115,2.30319856033935,4.11190816464368,1.7853033756837,6.68176712718321,0.770504024893451
118,1.66220412325313,2.59424045593621,1.56072315045096,178.059618940481,0.891697920124176
121,1.53160674914331,3.29390003439419,2.15061734106133,143.91437286345,0.855663979302371
123,1.41446724395295,2.36988877687814,1.67546388013562,96.8747298500994,0.635590235785623
125,3.63409448634943,2.73115655792214,0.751537024747443,176.891911173182,0.698385982024074
126,1.65385764867169,3.51663934392137,2.12632528969212,173.91915183845,0.815651955182764
127,1.51380309549036,1.46105226439739,0.965153439539053,178.583421771519,0.582918545721766
129,1.31055544562245,2.9065861433179,2.21782767987921,14.1985941066529,0.82785438040581
130,1.5828119327845,2.23165957713852,1.40993350562663,94.2875350147489,0.718078892954634
131,1.16450227873443,1.67541638979409,1.43874032742548,88.326841838092,0.901510129284375
132,1.54122586058536,1.84260219413339,1.19554326283726,175.163909616378,0.950643112982919
133,2.51151179092596,3.35361409931034,1.33529697587998,13.4841385047975,0.816696711226435
135,1.66575126773248,1.51710928272912,0.910765798061973,2.13971117768784,0.711383565368961
137,1.83098000987164,2.73490762572986,1.49368513636673,7.46628548876157,0.766777430032902
139,1.46430569290481,2.50980580603747,1.71399033562361,42.7794624661446,0.553494877868012
140,1.14474872780546,2.69409161627092,2.35343490744526,42.6052961812779,0.68048243797057
230,1.61179307589677,2.32216895062846,1.44073639808661,161.273224469556,0.949799619396569
231,1.91744145949482,4.22618262004597,2.2040738710007,3.58683588171098,0.613557219288243
232,1.55271860427129,2.51442160895073,1.6193672195554,41.2679476762624,0.559568583947694
244,1.67253815551159,2.95712398525944,1.7680457546004,33.3276920466453,0.52925380043895
245,1.69583763636554,2.45560557621185,1.44801926997836,126.196959746832,0.844878534294632
250,1.04333509936967,2.01024821137086,1.92675221276975,178.471664558807,0.843438847010427
252,2.01209857431761,3.08150041172802,1.53148580842919,150.946208863592,0.746762224533978
322,2.30932972491603,4.18461280837582,1.8120464839762,6.84861199406026,0.731460160545992
328,1.37517132995745,2.20205567664387,1.60129551036525,130.038571657083,0.724575211480537
329,2.42240085792095,3.44310155796601,1.42135912258596,151.500782543041,0.776695281372564
331,1.43661865222537,3.2172198146172,2.23943898377876,19.4942616381325,0.877502924837848
345,1.57474679759077,1.80072068988475,1.14349855649156,16.030785704003,0.458016680490807
353,1.90024278987926,3.71652770874701,1.95581729268562,0.343817999869572,0.94337859551735
358,1.37457971292438,2.02597498901177,1.47388686880993,14.0167642123234,0.887595696533015
362,2.40254677495829,5.07742006816111,2.11334910149637,125.034542658614,0.370685603315794
363,1.69729266110295,2.19678127462414,1.29428549652516,27.4940222924454,0.866777948690767
375,1.37301772628135,1.78302459240242,1.29861731445487,52.3697268114763,0.707588201342689
378,1.14930085646612,1.68452451862366,1.46569499983081,27.4784997686598,0.555806365261369
445,1.34620040878033,2.83786654539542,2.10805651735506,53.2253047732684,0.752442266948672
446,2.63614127143135,3.48543027734354,1.32217127933021,7.15290657669837,0.741363454105401
457,1.77131817070934,3.78653631691243,2.13769405154133,27.9826415371222,0.847732515847733
461,1.73891010038756,4.7501222592169,2.73166638008383,174.424711680037,0.930973403336646
462,2.57521436674382,5.98382187189279,2.32362087955377,29.9041558082633,0.35174162077228
468,1.92381795301296,3.4988549608754,1.81870376840788,172.154869008664,0.885316284362225
469,1.17805132699423,2.35255262560284,1.99698652486162,40.121616828098,0.829299648755102
470,2.54352136375844,5.40527458502078,2.12511467842899,4.14887951967509,0.744934722410304
479,1.91995099353998,2.78162767504259,1.44880139357821,0.391847609056924,0.823724366046922
599,1.74802605850486,2.15285702023381,1.23159320752645,10.3999439199534,0.90129587932668
600,1.89225485646807,3.6823196678706,1.94599562277975,8.77276346133826,0.623299538714854
614,1.61248324671782,2.22796778911408,1.3816998059664,26.7118528990323,0.65896064421068
615,1.71226449752226,3.44880856221088,2.01417979944191,172.603833960731,0.889622568485581
617,1.65792573831472,2.10189465809273,1.26778576960226,7.85131272998973,0.82204851334358
621,1.48421418807788,2.47573041107256,1.66804119712583,7.23649141891656,0.862842180477877
622,3.60625482046219,4.41778404138064,1.22503379858621,166.577223293092,0.866042964134386
629,1.71309861369025,3.50487696353537,2.04592831698426,149.038395634712,0.815047462726744
632,1.67231222726461,3.57452961143603,2.13747741190822,177.541024661611,0.704138036743059
637,2.62410210155027,3.10104170757323,1.18175344844287,6.72977858588115,0.648282847486783
646,1.80038640710582,2.39279867475311,1.32904728968689,165.621139783207,0.65796360627743
647,1.63138813892893,3.21833356176828,1.97275773004041,172.194134927516,0.718647756943491
648,1.73917743544467,2.73064447137555,1.57007813908153,155.073677751096,0.714186978757345
649,1.58439846646307,3.14730378476447,1.98643450582879,148.122584067382,0.848446044842869
654,1.63418985346621,2.74812219999383,1.68164194274301,36.0786461274608,0.820490103900483
657,1.25001500883586,2.67208165326576,2.13763965582644,158.447342416347,0.856598471805114
659,2.83663959916534,3.11022834679576,1.09644818739431,170.946494817724,0.841083788169184
664,1.56475366696034,2.40556496251488,1.53734419244908,30.2466812931817,0.850572355865475
743,1.64590562738121,1.91725445981667,1.16486293498321,176.452101981029,0.873282856696081
744,1.41522966954799,3.9734464087266,2.80763362599349,6.57813508709424,0.6688951253582
748,2.49017963503509,4.494465424055,1.8048759859815,7.01384559992377,0.650467861256605
766,3.59658811335633,4.34335503453163,1.20763203837607,158.498461112131,0.631153880589631
771,2.5668455263629,4.45258992964971,1.73465441683935,28.6541497625612,0.784448962776945
772,2.03035795768599,2.74483615365182,1.35189765098373,11.6999121559098,0.817578367729151
775,1.50104634725485,3.38112372100204,2.25251120805532,153.634778810848,0.562769407388201
776,1.46042821930116,1.98102394292946,1.35646786110269,4.87968784914358,0.847820556454521
778,1.99987732032356,3.13059652102718,1.56539428154557,22.7156683597674,0.764658407418253
779,1.84253058018189,3.22205688498689,1.74871284072193,170.349795880191,0.825422420899661
783,3.11269015992009,3.30676466232805,1.06234944451167,2.21169090323755,0.605495036161031
792,2.15548987323835,3.76103631387393,1.74486382913201,20.9444958200892,0.63764152242406
793,3.36180079840303,3.34947292955412,0.996332956772821,120.427548026148,0.365693590570965
797,1.89746023670868,2.03107044922564,1.07041528983433,10.6069163140836,0.71853223154132
798,1.73631806318184,2.73419498299792,1.57470859802463,26.0418271323124,0.68014204918814
800,1.78831591359273,2.26912277107153,1.26886013473585,29.3503679251979,0.859948289770748
801,1.30047566454242,1.8926651986232,1.45536379513041,40.3478570059362,0.780054273174508
808,1.60320022045172,2.70523931480292,1.68739954017764,84.7526272277123,0.788018779855954
870,2.86162776165649,3.01230273472473,1.05265358936168,174.234058368198,0.78568685705009
890,1.45539356325919,1.74150436012207,1.19658654819262,22.4656507567842,0.807779882247959
911,1.21187510258725,2.88880003295398,2.38374402344486,7.50691674151963,0.503982789335518
912,4.51188278935344,3.85362263612968,0.854105218606956,168.622459780324,0.703943844045724
913,1.28667553288697,2.32280330228652,1.80527510076666,147.110439124673,0.735104861249252
914,2.00332200627198,4.52848787042673,2.26048925547116,79.9717623255387,0.233092470523112
915,2.4535046792901,3.50059003350069,1.42677128886241,9.5970718062751,0.512760847784673
919,1.29986804605777,2.58005554939575,1.98485958418666,135.769410565539,0.793323085516824
1015,1.96230164072012,3.41852745408656,1.74210089985556,9.59593810017557,0.904205867754104
1078,2.07518015154716,2.3752269506848,1.14458831389359,0.462242277913305,0.874101509023149
1080,2.16548122664066,3.25465026941145,1.50296859163283,176.981008897571,0.529607896840509
1083,1.14646747411305,1.66787416274451,1.45479413974203,60.2761785912418,0.773355819763474
1086,1.70624273039695,2.10756815857966,1.23521004428798,70.9916459891424,0.605810471761325
1095,1.50221188265542,2.34610816074069,1.56176914044479,38.1693945353055,0.794375193205352
1235,2.13799508709719,2.50342411720145,1.17092136100294,147.549769043798,0.818435887573383
1240,1.78839626112838,4.48871893414968,2.50991294922387,22.9040774067708,0.839205649613586
1248,2.05824360357715,4.36188490306959,2.11922675017126,25.0859067661133,0.772934092369135
1252,1.38839263140504,2.83495051681587,2.0418939518189,162.066956359077,0.754124951741266
1255,1.82627206852325,2.2866214365334,1.25207052987587,133.155996209859,0.716934896142602
1322,1.47574141233705,1.97362901918057,1.33738133434573,173.652903696681,0.331536991782677
1328,1.21631998774054,2.90749373192852,2.390402000488,92.1785263197451,0.644454911964692
1329,1.6909330654886,3.59802316434435,2.12783299219753,173.344179538837,0.72316382156419
1330,1.87252309485552,3.43890282007054,1.83650756005008,11.1958883336616,0.650655104627387
1334,2.19370075994662,4.05733069887472,1.84953698925347,9.54623976962469,0.737122245600899
1341,1.19714386660755,2.3955875620417,2.00108577495392,57.2863679903945,0.874442431598694
1347,1.39480454820513,3.0361009697485,2.17672144362838,1.51714444854827,0.755707677818312
1348,2.17153722974297,3.26424592965926,1.50319593187248,17.4662636575331,0.747968107621177
1353,1.65877014471749,2.83508552301722,1.70914911390576,129.596668959017,0.646328800563124
1422,1.45035876381643,2.32237255275371,1.60124005914418,14.0738397429575,0.919264146580171
1430,2.22666289117352,4.45329076473535,1.99998427350102,0.32892226678274,0.744374517555932
1431,1.80237851383611,5.66588435904732,3.14355964385543,143.502323042178,0.719008461525206
1438,1.28939277762821,1.98426438634714,1.53891383663333,8.34262428041535,0.749799783842899
1440,2.11312523683198,3.11187170161267,1.47263950445172,177.654139425519,0.448482466731793
1443,1.52599334354197,4.03924740721183,2.64696266488055,174.837971518028,0.775033075194508
1450,1.38467618533216,2.52392307903503,1.82275329479259,104.381810785037,0.841956240721672
1453,1.48493377047006,3.90293062626361,2.62835333391881,173.729717646531,0.410804303318323
1455,2.32813961618843,3.73970886991737,1.60630781930507,140.377440269836,0.57931573935036
1510,1.17189664391622,1.15987757833132,0.989743920125302,42.5406481685302,0.566322651206446
1517,1.54308966497943,2.49316340561117,1.61569574483827,176.044151833443,0.918537058990328
1532,1.2993884329988,3.05527466135538,2.35131742269264,80.6696550338584,0.777085191803057
1545,1.82443685113378,2.40245705900131,1.31682116457379,118.976949604074,0.650258095252093
1546,1.59282083244144,2.81888148128187,1.76974172102028,40.1138393211646,0.712261712133085
1563,1.95530191169666,3.42786699478653,1.75311391774383,28.2923332139828,0.846067491605093
1564,2.66668000357034,3.68271036548845,1.38100948016176,16.6325057019767,0.620957763802909
1565,2.53412160966545,3.90096889222418,1.53937714644215,177.34105291582,0.774326845439929
1566,1.3655572246222,2.97096599042853,2.17564371295424,178.61364092176,0.817057515265135
1571,1.84766633844532,4.28522238439775,2.31926203082936,38.5091893453631,0.825320525766688
1575,1.40370833091634,5.63742090802631,4.01609136589379,0.0303129530661579,0.476163415871169
1580,1.61719564786774,2.61398383752716,1.6163683355033,161.248399898213,0.856759291228616
1581,3.71878348965986,2.93897371662773,0.79030514274348,166.38484750524,0.486203003588954
1584,1.63869681365455,4.91217978988225,2.9976135603311,133.212112146336,0.693113413074298
1587,1.49847701250065,2.92276311973679,1.95048912686308,158.933131180795,0.770006042606462
1588,1.5201867752253,2.51314930815269,1.65318456199583,170.240794864997,0.805415185400326
1589,1.37947523226674,2.14721255047479,1.5565430246591,161.22270344658,0.844763696883528
1590,1.79139662957897,2.60970994418663,1.45680186123828,22.2121600851877,0.887698348464232
1592,2.00638782369675,3.11110673113833,1.55060088303673,161.576034627514,0.805814213361257
1593,2.51635100934292,4.4058066469517,1.75087125388845,179.92071641068,0.830113836269325
1596,2.8386050851925,2.81053703866294,0.990112028377606,162.461253867145,0.628544570944385
1597,1.88991394883423,1.78854276267111,0.946362009643002,2.97803341208146,0.839998369131625
1599,1.73471548057952,2.52873449967457,1.45772291075064,151.450271437296,0.831534048152595
1601,2.15539746960505,2.86462836476558,1.32904877414117,5.39386642163936,0.893118053683296
1602,1.33353143099813,4.06580925910711,3.04890395876452,114.913420759769,0.833264580702348
1605,2.16498170732386,2.67549342010474,1.23580416917791,170.476509818215,0.78163951791403
1606,1.63631611143946,3.35152487163029,2.04821357450424,141.540241540916,0.8345809575305
1608,1.15243690111915,2.60455019365877,2.26003713620195,39.1008403714439,0.52658347693099
1610,1.53776519003539,1.86780057933574,1.21462014580572,77.649393927754,0.798557391292883
1611,1.44334667379573,2.64261112637614,1.83089147905581,5.0567790790308,0.771638813448031
1612,1.4461464089821,1.62976846441281,1.12697335089325,178.568012885086,0.864787576139314
1613,1.47589223427892,2.38243109912782,1.61423106903995,1.33915304405264,0.40251767446233
1614,1.44623089046778,2.92794899039457,2.0245377205624,10.3060230751856,0.671638812403047
1616,2.41988838268266,2.00754955306363,0.829604194734835,139.462658589699,0.654280778868274
1618,1.84004265563393,2.34244961982103,1.27304093339837,111.691657256943,0.496039567821515
1619,1.96750287235493,1.79292165341611,0.911267616738034,1.24572817057185,0.811876342668738
1620,2.34838026638183,2.1055675862852,0.896604189886702,28.2554136641787,0.576492407510227
1621,1.08805031054403,1.76553253671784,1.62265707716684,107.698361514331,0.88296147553564
1622,1.59915752298568,3.34422753640477,2.09124335053684,2.55497828248335,0.890035014007029
1623,2.86736692540242,4.50456157897621,1.57097493839022,155.953890614778,0.668166806259536
1635,1.71153060665264,2.77215353964368,1.6196926475451,60.9715804165993,0.735855986475964
1641,2.35213501226323,3.25656159464018,1.38451303928626,6.29870099831169,0.724599456470652
1642,1.52210646671751,3.74860189573015,2.46277246545977,0.221481170199866,0.651670329163168
1644,1.40074891410811,1.92614641254392,1.37508328091073,119.316787609596,0.571018312054879
1645,3.22600537251006,3.27362768720028,1.01476200724773,177.425852028225,0.615041795638972
1646,1.6606102630967,2.65074237989177,1.59624593367782,69.0626727072926,0.818634907276538
1672,1.55860574601907,2.58830715925125,1.66065547099528,12.4693053978283,0.722601856410107
1762,1.69918860920046,5.34737940609253,3.14701933448617,29.9426744680341,0.605638456558816
1792,2.44152679816431,4.03359836739112,1.65208031729319,152.699568593136,0.827063463895449
1797,2.14577401118259,3.81655416804458,1.77863752107855,26.9071609784267,0.720476048900385
1805,1.25030307863223,2.43014181699221,1.94364219245999,62.5334541362474,0.828335292239342
1808,1.37805241921471,1.54212015998651,1.11905769220688,168.879606404656,0.924079083187368
1810,2.56583314145692,2.77868301568271,1.08295546221877,175.395447510086,0.671889103351205
1813,2.19564155668758,2.72238924138708,1.23990604618277,36.3907540606233,0.568654863383257
1815,1.29344199754751,1.92181160847778,1.485811974655,147.168335061197,0.888504067898695
1816,1.31038600782622,3.02385971570339,2.3076098933013,167.076211042325,0.867722053302974
1818,2.57476197223649,4.34879921751552,1.68901019372213,159.040411953762,0.727613159890426
1820,1.22673345268505,4.03610874192136,3.29012690824336,146.573042923506,0.407349133287226
1821,1.9984423981304,4.92089479492916,2.46236508969826,137.340751230332,0.625732238775738
1822,1.61567205398106,2.39953900367344,1.48516463954484,163.041851887097,0.788667368140949
1826,1.60367454062637,2.19092173488461,1.36618851230804,169.546376027688,0.959576948634937
1827,1.28559712566387,3.00536001749576,2.33771525892594,126.597121326054,0.90087039971359
1828,1.78783126627907,2.67842040880473,1.49813937104881,38.7404561567604,0.772458598243126
1831,1.83956945846823,4.66931502280439,2.53826513661106,179.041152764881,0.646553775283688
1832,1.61595580617831,3.69893173115064,2.28900550188839,165.514944199597,0.760003383207759
1833,3.54804676364457,4.07661361453975,1.14897403729601,8.86419421011828,0.811483436249943
1834,2.03340850499305,3.33581466125603,1.64050393861583,171.110389480005,0.765557305019962
1836,2.40683870758453,2.0371330023156,0.846393651513123,173.488375466695,0.843436290444855
1839,2.20181390576787,3.56748946626029,1.62025022047272,7.94515242955788,0.744078133320856
1840,2.13896301863553,2.37372400061088,1.10975457730219,24.1084304828455,0.650616502993272
1841,1.18008769743095,2.85076220412171,2.41572063697285,144.061157424938,0.626268948988844
1842,1.13270184104078,3.00556139157423,2.65344443054192,151.358528054731,0.822201121497915
1845,3.63761966013799,2.6401569591681,0.72579247030679,4.48318152144606,0.74903750234634
1847,3.19141228019179,2.44511139877172,0.766153409243878,178.282033945205,0.735770419805113
1850,1.43537715064271,3.25947706755692,2.27081576859256,173.574115095315,0.795276979311898
1851,1.39831175594154,3.1364500786822,2.243026324677,162.41207592162,0.718039563789495
1852,1.32458540948416,2.22989001903224,1.68346261635226,151.125998792019,0.602982520463831
1855,1.66582264148658,2.54945167505227,1.53044604603112,138.756538045546,0.886226988079712
1856,1.64999034391933,3.14926757541822,1.90865818519735,173.949944545201,0.848018070225146
1859,1.94443203650233,3.70398034151585,1.90491633134096,87.1857835942536,0.707084463783965
1860,1.54263534838391,2.808719103852,1.8207278257914,109.49437929132,0.589091093513407
1861,1.49694972425691,3.17982575109631,2.12420343821152,6.92484951138553,0.767244983644814
1862,2.14682599930864,2.65890706977347,1.23852937808176,28.7251799238882,0.914039661531658
1863,1.53761618953219,2.79616427552471,1.81850600595941,2.55733251713517,0.75751011177259
1865,1.36585558038575,2.48887602072237,1.82221023691206,122.733410923596,0.593294956342606
